new_order,old_order,line-type,p1_x,p1_y,p2_x,p2_y,rx,ry,filled,work,travle_type
29,4,0,120,50,130,50,0,0,0,1,drawn_seg
29,29,0,130,50,135,50,0,0,0,0,post-pattern
29,29,0,135,50,145,50,0,0,0,0,travel
30,30,0,145,50,150,50,0,0,0,0,pre-pattern
30,6,0,150,50,160,50,0,0,0,1,drawn_seg
30,30,0,160,50,165,50,0,0,0,0,post-pattern
30,30,0,165,50,175,50,0,0,0,0,travel
31,31,0,175,50,180,50,0,0,0,0,pre-pattern
31,8,0,180,50,190,50,0,0,0,1,drawn_seg
31,31,0,190,50,195,50,0,0,0,0,post-pattern
31,31,0,195,50,190,55,0,0,0,0,travel
32,32,0,190,55,190,60,0,0,0,0,pre-pattern
32,9,0,190,60,190,70,0,0,0,1,drawn_seg
32,32,0,190,70,190,75,0,0,0,0,post-pattern
32,32,0,190,75,190,85,0,0,0,0,travel
33,33,0,190,85,190,90,0,0,0,0,pre-pattern
33,11,0,190,90,190,100,0,0,0,1,drawn_seg
33,33,0,190,100,190,105,0,0,0,0,post-pattern
33,33,0,190,105,190,115,0,0,0,0,travel
34,34,0,190,115,190,120,0,0,0,0,pre-pattern
34,13,0,190,120,190,130,0,0,0,1,drawn_seg
34,34,0,190,130,190,135,0,0,0,0,post-pattern
34,34,0,190,135,190,145,0,0,0,0,travel
35,35,0,190,145,190,150,0,0,0,0,pre-pattern
35,15,0,190,150,190,160,0,0,0,1,drawn_seg
35,35,0,190,160,190,165,0,0,0,0,post-pattern
35,35,0,190,165,190,175,0,0,0,0,travel
36,36,0,190,175,190,180,0,0,0,0,pre-pattern
36,17,0,190,180,190,190,0,0,0,1,drawn_seg
36,36,0,190,190,190,195,0,0,0,0,post-pattern
36,36,0,190,195,190,190,0,0,0,0,travel
37,37,0,190,190,185,190,0,0,0,0,pre-pattern
37,18,0,185,190,175,190,0,0,0,1,drawn_seg
38,38,0,175,190,170,190,0,0,0,0,post-pattern
0,0,0,0,0,0,0,0,0,0,0,travel
